,Title,Price,Kilometers Driven,Fuel Type,Location,Year,Make,Model,Variant,Car Age,Trim Level,Power Indicator
0,2019 BMW 5 Series 530d M Sport [2013-2017],5800000.0,13700.0,Diesel,Banjara Hills Hyderabad,2019,BMW,5,Series 530d M Sport,5,Sport,Standard
1,2019 Mercedes-Benz GLE 300d 4MATIC LWB [2020-2023],7000000.0,63818.0,Diesel,Jubilee Hills,2019,Mercedes-Benz,GLE,300d 4MATIC LWB,5,LWB,4MATIC
2,2017 Mercedes-Benz GLE 250 d,3900000.0,106207.0,Diesel,Jubilee Hills,2017,Mercedes-Benz,GLE,250 d,7,Base,Standard
3,2018 Hyundai Eon Sportz,339000.0,18286.0,Petrol,Madhapur,2018,Hyundai,Eon,Sportz,6,Sport,Standard
4,2019 BMW 6 Series GT 620d Luxury Line [2019-2019],5400000.0,69590.0,Diesel,Jubilee Hills,2019,BMW,6,Series GT 620d Luxury Line,5,Luxury,GT
5,2018 Audi Q3 30 TDI Premium FWD,2500000.0,41560.0,Diesel,Madhapur,2018,Audi,Q3,30 TDI Premium FWD,6,Base,Standard
6,2014 Toyota Innova 2.5 VX 7 STR BS-IV,1020000.0,219000.0,Diesel,Manikonda,2014,Toyota,Innova,2.5 VX 7 STR BS-IV,10,Base,Standard
7,2021 Volkswagen T-Roc 1.5 TSI,1800000.0,32000.0,Petrol,Hyderabad,2021,Volkswagen,T-Roc,1.5 TSI,3,Base,Standard
8,2020 Maruti Suzuki Alto 800 LXi (O),350000.0,67551.0,Petrol,Khairatabad H O,2020,Maruti,Suzuki,Alto 800 LXi (O),4,Base,Standard
9,2019 Renault Kwid RXL,350000.0,32715.0,Petrol,Khairatabad H O,2019,Renault,Kwid,RXL,5,Base,Standard
10,2017 Maruti Suzuki Alto 800 Vxi,330000.0,46488.0,Petrol,Khairatabad H O,2017,Maruti,Suzuki,Alto 800 Vxi,7,Base,Standard
11,2018 Audi Q3 30 TDI Premium FWD,2700000.0,42224.0,Diesel,Madhapur,2018,Audi,Q3,30 TDI Premium FWD,6,Base,Standard
12,2021 Mercedes-Benz GLS 400d 4MATIC [2020-2023],12500000.0,45031.0,Diesel,Madhapur,2021,Mercedes-Benz,GLS,400d 4MATIC,3,Base,4MATIC
13,2016 Skoda Octavia Style TDI AT,1500000.0,74035.0,Diesel,Madhapur,2016,Skoda,Octavia,Style TDI AT,8,Base,Standard
14,2013 Ford EcoSport Titanium 1.5 TDCi,531020.0,68381.0,Diesel,L B Nagar,2013,Ford,EcoSport,Titanium 1.5 TDCi,11,Base,Standard
15,2017 Tata Tiago Revotron XZA [2017-2019],461000.0,57920.0,Petrol,L B Nagar,2017,Tata,Tiago,Revotron XZA,7,Base,Standard
16,2018 Honda Amaze 1.5 V MT Diesel [2018-2020],737000.0,33476.0,Diesel,L B Nagar,2018,Honda,Amaze,1.5 V MT Diesel,6,Base,Standard
17,2021 Tata Tiago Revotron XZ Plus Dual Tone,619000.0,33436.0,Petrol,Hankimpet,2021,Tata,Tiago,Revotron XZ Plus Dual Tone,3,Base,Standard
18,2015 Maruti Suzuki Swift VXi,533472.0,34717.0,Petrol,L B Nagar,2015,Maruti,Suzuki,Swift VXi,9,Base,Standard
19,2018 Tata Tiago Revotron XT [2016-2019],436000.0,75958.0,Petrol,Bakaram,2018,Tata,Tiago,Revotron XT,6,Base,Standard
20,2021 Volkswagen Polo Comfortline 1.0L TSI,818000.0,28640.0,Petrol,L B Nagar,2021,Volkswagen,Polo,Comfortline 1.0L TSI,3,Base,Standard
21,2020 Toyota Vellfire Hybrid,11000000.0,13136.0,Hybrid,Madhapur,2020,Toyota,Vellfire,Hybrid,4,Base,Standard
22,2023 Hyundai Verna SX (O)1.5 MPi,1490000.0,14470.0,Petrol,Khairatabad H O,2023,Hyundai,Verna,SX (O)1.5 MPi,1,Base,Standard
23,2020 Kia Sonet GTX Plus 1.5 [2020-2021],1350000.0,60702.0,Diesel,Madhapur,2020,Kia,Sonet,GTX Plus 1.5,4,Base,GT
24,2020 Tata Tiago Revotron XE [2016-2019],470000.0,57810.0,Petrol,Hankimpet,2020,Tata,Tiago,Revotron XE,4,Base,Standard
25,2016 Maruti Suzuki Swift VXi [2014-2017],540000.0,70763.0,Petrol,L B Nagar,2016,Maruti,Suzuki,Swift VXi,8,Base,Standard
26,2019 Skoda Octavia 1.8 TSI L&K,1950000.0,57537.0,Petrol,Madhapur,2019,Skoda,Octavia,1.8 TSI L&K,5,Base,Standard
27,2021 Tata Altroz XE Petrol [2020-2023],577000.0,46658.0,Petrol,Bakaram,2021,Tata,Altroz,XE Petrol,3,Base,Standard
28,2014 Mercedes-Benz CLA 200 CDI Style,2000000.0,60389.0,Diesel,Madhapur,2014,Mercedes-Benz,CLA,200 CDI Style,10,Base,Standard
29,2015 Mercedes-Benz CLS 250 CDI,2750000.0,95000.0,Diesel,Attapur,2015,Mercedes-Benz,CLS,250 CDI,9,Base,Standard
30,2022 Land Rover Discovery Sport SE R-Dynamic,7500000.0,8800.0,Diesel,Attapur,2022,Land,Rover,Discovery Sport SE R-Dynamic,2,Sport,Standard
31,2018 BMW 7 Series 730Ld,7750000.0,24200.0,Diesel,Attapur,2018,BMW,7,Series 730Ld,6,Base,Standard
32,2022 Land Rover Discovery Sport SE R-Dynamic,7500000.0,8800.0,Diesel,Attapur,2022,Land,Rover,Discovery Sport SE R-Dynamic,2,Sport,Standard
33,2015 Mercedes-Benz CLS 250 CDI,2750000.0,95000.0,Diesel,Attapur,2015,Mercedes-Benz,CLS,250 CDI,9,Base,Standard
34,2014 Hyundai Santa Fe 4 WD (AT),1150000.0,109296.0,Diesel,Madhapur,2014,Hyundai,Santa,Fe 4 WD (AT),10,Base,Standard
35,2012 Audi A4 2.0 TDI (143 bhp),800000.0,39876.0,Diesel,Madhapur,2012,Audi,A4,2.0 TDI (143 bhp),12,Base,Standard
36,2017 Ford EcoSport Titanium 1.5L Ti-VCT AT,759395.0,79181.0,Petrol,Bakaram,2017,Ford,EcoSport,Titanium 1.5L Ti-VCT AT,7,Base,Standard
37,2019 Tata Tiago Revotron XZ,544000.0,26907.0,Petrol,Hankimpet,2019,Tata,Tiago,Revotron XZ,5,Base,Standard
38,2018 Tata Tiago Revotron XZ,470000.0,63258.0,Petrol,Bakaram,2018,Tata,Tiago,Revotron XZ,6,Base,Standard
39,2018 Audi Q5 35 TDI Technology,3500000.0,80160.0,Diesel,Jubilee Hills,2018,Audi,Q5,35 TDI Technology,6,Base,Standard
40,2022 Maruti Suzuki Swift ZXi Plus AMT Dual Tone [2021-2023],824000.0,31707.0,Petrol,L B Nagar,2022,Maruti,Suzuki,Swift ZXi Plus AMT Dual Tone,2,Base,Standard
41,2021 Audi RS5 Sportback,8500000.0,15965.0,Petrol,Jubilee Hills,2021,Audi,RS5,Sportback,3,Sport,Standard
42,2018 Audi Q7 45 TDI Technology Pack,4900000.0,81332.0,Diesel,Madhapur,2018,Audi,Q7,45 TDI Technology Pack,6,Base,Standard
43,2013 Mercedes-Benz E-Class E220 CDI Blue Efficiency,1400000.0,46700.0,Diesel,Attapur,2013,Mercedes-Benz,E-Class,E220 CDI Blue Efficiency,11,Base,Standard
44,2018 Hyundai Verna 1.6 VTVT SX,828800.0,32982.0,Petrol,L B Nagar,2018,Hyundai,Verna,1.6 VTVT SX,6,Base,Standard
45,2014 Maruti Suzuki Swift VXi,456000.0,70724.0,Petrol,L B Nagar,2014,Maruti,Suzuki,Swift VXi,10,Base,Standard
46,2015 Maruti Suzuki Wagon R 1.0 VXI,404000.0,24867.0,Petrol,L B Nagar,2015,Maruti,Suzuki,Wagon R 1.0 VXI,9,Base,Standard
47,2018 Tata Tiago Revotron XZ,470000.0,63258.0,Petrol,Hankimpet,2018,Tata,Tiago,Revotron XZ,6,Base,Standard
48,2018 Honda Amaze 1.2 VX i-VTEC,633000.0,43190.0,Petrol,L B Nagar,2018,Honda,Amaze,1.2 VX i-VTEC,6,Base,Standard
49,2019 Tata Tiago Revotron XZ,482000.0,71487.0,Petrol,Hankimpet,2019,Tata,Tiago,Revotron XZ,5,Base,Standard
50,2022 Tata Tiago Revotron XZA Plus,709000.0,17374.0,Petrol,L B Nagar,2022,Tata,Tiago,Revotron XZA Plus,2,Base,Standard
51,2021 Tata Tiago Revotron XZA Plus,695000.0,8753.0,Petrol,L B Nagar,2021,Tata,Tiago,Revotron XZA Plus,3,Base,Standard
54,2021 Tata Tiago Revotron XZA Plus,688000.0,31090.0,Petrol,L B Nagar,2021,Tata,Tiago,Revotron XZA Plus,3,Base,Standard
55,2016 Honda Amaze 1.2 S i-VTEC,472800.0,47097.0,Petrol,L B Nagar,2016,Honda,Amaze,1.2 S i-VTEC,8,Base,Standard
